일자 ,재난유형,대상지역,송출내용,전송시간
2020-01-27,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군","[부산광역시]신종 코로나바이러스 감염증 예방을 위해 손씻기, 마스크착용 등 수칙준수, 중국 방문후 발열 호흡기 증상 발생시 1339 또는 지역보건소 상담바랍니다.",2020-01-27 17:32
2020-01-31,감염병 발생,북구,"[북구청]신종코로나바이러스 예방수칙(손씻기,마스크착용)준수, 1.31.현재 북구내 확진자는 없으며 발열등 증상시 1339, 보건소051)309-7025문의바랍니다",2020-01-31 11:07
2020-01-31,감염병 발생,금정구,"[금정구청]신종코로나바이러스 예방수칙(손씻기,마스크착용)준수, 1.31.현재 금정구내 확진자는 없으며 발열등 증상시 1339, 보건소 519-5029문의바랍니다.",2020-01-31 17:38
2020-02-19,감염병 발생,기장군,"[기장군청] 대구경북지역 코로나19 확진자 19명발생. 지역전파차단을 위해 예방수칙(손씻기, 마스크착용 등)준수. 증상발현시 1339 또는 보건소로 상담바랍니다.",2020-02-19 20:43
2020-02-20,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군","[부산광역시] 코로나19 예방을 위해 손씻기, 마스크 착용하고 발열 기침 증상시 의료기관 방문전 1339 전화 또는 구군 보건소로 상담바랍니다.",2020-02-20 21:02
2020-02-21,기타재난,연제구,[연제구청]금일 오전11시경 연제구 연산동 연산초 인근 주택붕괴로 중앙천로 일부 교통긴급통제를 알려드립니다.051-665-4646,2020-02-21 11:38
2020-02-21,기타재난,연제구,[연제구청]금일 연제구 주택붕괴사고에 따른 가스누출 2차사고방지 위해 인근 일부 세대 가스공급 긴급차단 중이오니 협조 부탁드립니다. 051-665-4646,2020-02-21 13:25
2020-02-21,감염병 발생,"부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군",[부산광역시청] 2월 중 31번째 코로나19 확진자가 다니던 대구 신천지교회를 방문한 사람은 보건소에 신고하여 주시기 바랍니다.,2020-02-21 15:37
2020-02-21,감염병 발생,해운대구,[해운대구청] 금일 해운대구 코로나19 확진자 1명이 발생하였습니다. 마스크 착용 등 예방수칙을 준수하시기 바랍니다. 051-746-4000,2020-02-21 21:21
2020-02-21,감염병 발생,동래구,[동래구청] 금일 동래구 코로나19 확진자 1명이 발생했습니다. 예방수칙을 각별히 준수하시고 다중밀집시설 방문 등 야외활동을 자제하여 주시기 바랍니다.,2020-02-21 21:38
